frame,capture,detection,attention,tracker,total_frame,,,,,,
73,7.333299989,37.37419999,38.1911,38.1438,38.1438,,,,,,
74,4.589999997,35.9798,33.7495,32.8744,32.8744,,,,,,
75,8.121300008,35.2305,37.63010001,42.59520001,42.59520001,,,,,,
76,6.880399989,35.76280001,33.0077,31.5193,31.5193,,,,,,
77,7.345999999,31.4658,37.2948,33.6372,33.6372,,,,,,
78,4.968499998,32.52810001,34.6248,37.16420001,37.16420001,,,,,,
79,7.813499993,32.86499999,35.6403,36.4515,36.4515,,,,,,
80,4.1279,34.89410001,36.4134,35.3076,35.3076,,,,,,
81,7.01500001,34.9253,34.17,40.2875,40.2875,,,,,,
82,4.042300003,37.675,34.2469,33.3579,33.3579,,,,,,
83,8.924900001,32.30399999,32.92329999,29.1174,29.1174,,,,,,
84,7.708899997,32.5897,33.7306,40.9162,40.9162,,,,,,
85,4.192399996,34.99059999,36.6281,37.1096,37.1096,,,,,,
86,7.6405,33.5417,39.7985,42.53769999,42.53769999,,,,,,
87,5.870699999,39.10369999,33.11249999,34.24180001,34.24180001,,,,,,
88,7.737699998,33.3603,34.2469,28.3433,28.3433,,,,,,
89,5.013300004,33.5774,34.45190001,39.6801,39.6801,,,,,,
90,3.534599993,34.0216,37.01520001,42.52070001,42.52070001,,,,,,
91,8.130899994,33.8775,31.2517,26.69329999,26.69329999,,,,,,
92,7.161500005,32.41419999,33.4318,42.5312,42.5312,,,,,,
93,4.031399993,34.8605,35.453,35.0764,35.0764,,,,,,
94,7.404400007,30.70470001,35.46059999,38.1581,38.1581,,,,,,
95,4.994000003,31.1891,33.04200001,29.83869999,29.83869999,,,,,,
96,7.771699995,33.1194,35.8207,37.2884,37.2884,,,,,,
97,3.930999999,36.23329999,38.4165,37.8886,37.8886,,,,,,
98,6.861300004,32.9617,34.42890001,35.19539999,35.19539999,,,,,,
99,4.260800008,36.01899999,46.9796,46.38309999,46.38309999,,,,,,
100,8.020900001,37.73520001,36.6107,34.2976,34.2976,,,,,,
